service_id,date,exception_type
20190106_------S_38,20190317,1
20190208_------S_68,20190317,1
20190208_------S_70,20190317,1
20180819_MTWTF--_15,20190318,1
20180909_M-W-F--_18,20190318,1
20180909_MT--F--_61,20190318,1
20180909_MT-T---_73,20190318,1
20180909_MTW-F--_7,20190318,1
20180909_MTWTF--_17,20190318,1
20180909_MTWTF--_30,20190318,1
20190106_M-WT---_40,20190318,1
20190106_MTWTF--_27,20190318,1
20190208_MTWTF--_44,20190318,1
20190208_MTWTF--_56,20190318,1
20190208_MTWTF--_69,20190318,1
20180819_MTWTF--_15,20190319,1
20180909_MT--F--_61,20190319,1
20180909_MT-T---_73,20190319,1
20180909_MTW-F--_7,20190319,1
20180909_MTWTF--_17,20190319,1
20180909_MTWTF--_30,20190319,1
20190106_-T--F--_29,20190319,1
20190106_-T-T---_41,20190319,1
20190106_MTWTF--_27,20190319,1
20190208_MTWTF--_44,20190319,1
20190208_MTWTF--_56,20190319,1
20190208_MTWTF--_69,20190319,1
20180819_MTWTF--_15,20190320,1
20180909_--W----_63,20190320,1
20180909_--W-F--_31,20190320,1
20180909_M-W-F--_18,20190320,1
20180909_MTW-F--_7,20190320,1
20180909_MTWTF--_17,20190320,1
20180909_MTWTF--_30,20190320,1
20190106_M-WT---_40,20190320,1
20190106_MTWTF--_27,20190320,1
20190208_MTWTF--_44,20190320,1
20190208_MTWTF--_56,20190320,1
20190208_MTWTF--_69,20190320,1
20180819_MTWTF--_15,20190321,1
20180909_---T---_8,20190321,1
20180909_MT-T---_73,20190321,1
20180909_MTWTF--_17,20190321,1
20180909_MTWTF--_30,20190321,1
20190106_-T-T---_41,20190321,1
20190106_M-WT---_40,20190321,1
20190106_MTWTF--_27,20190321,1
20190208_MTWTF--_44,20190321,1
20190208_MTWTF--_56,20190321,1
20190208_MTWTF--_69,20190321,1
20180819_----F--_53,20190322,1
20180819_MTWTF--_15,20190322,1
20180909_----F--_62,20190322,1
20180909_--W-F--_31,20190322,1
20180909_M-W-F--_18,20190322,1
20180909_MT--F--_61,20190322,1
20180909_MTW-F--_7,20190322,1
20180909_MTWTF--_17,20190322,1
20180909_MTWTF--_30,20190322,1
20190106_----F--_37,20190322,1
20190106_-T--F--_29,20190322,1
20190106_MTWTF--_27,20190322,1
20190208_----F--_48,20190322,1
20190208_----F--_65,20190322,1
20190208_MTWTF--_44,20190322,1
20190208_MTWTF--_56,20190322,1
20190208_MTWTF--_69,20190322,1
20180819_-----S-_16,20190323,1
20180819_-----S-_60,20190323,1
20180909_-----S-_39,20190323,1
20180909_-----S-_47,20190323,1
20190106_-----S-_28,20190323,1
